ID,Dist,Model,Parameter,Post_median,Post_mode,Post_SE,CI95_Low,CI95_Up,Majority_Opt
Uco,Poisson,FluctCorrDir,b,-0.114,-0.112,0.0545,-0.211,-0.00845,FALSE
Uco,Poisson,FluctCorrDir,sigma_b,0.0725,0.00962,0.0643,9.69e-5,0.203,FALSE
Uco,Poisson,FluctCorrDir,a,0.102,0.125,0.111,-0.122,0.308,FALSE
Uco,Poisson,FluctCorrDir,sigma_a,0.454,0.434,0.0994,0.285,0.658,FALSE
Uco,Poisson,FluctCorrDir,phi,-0.152,-0.607,0.482,-0.981,0.717,FALSE
Uco,Poisson,FluctCorrDir,sigma_ind,0.165,0.205,0.081,2.24e-4,0.292,FALSE
Uco,Poisson,FluctCorrDir,beta,-0.114,-0.101,0.0424,-0.195,-0.0303,FALSE
Uco,Poisson,FluctCorrDir,sigma_beta,0.0676,0.00549,0.0517,8.08e-5,0.171,FALSE
Uco,Poisson,FluctCorrOpt,theta,-5.65,-4,5.13,-16.8,1.22,FALSE
Uco,Poisson,FluctCorrOpt,theta_unstd,-24.6,-17.4,22.4,-73.2,5.32,FALSE
Uco,Poisson,FluctCorrOpt,sigma_theta,4.07,3.72,2.36,0.00135,8.71,FALSE
Uco,Poisson,FluctCorrOpt,sigma_theta_unstd,17.7,16.2,10.3,0.00591,38,FALSE
Uco,Poisson,FluctCorrOpt,log_Wmax,0.563,0.515,0.326,0.19,1.2,FALSE
Uco,Poisson,FluctCorrOpt,sigma_log_Wmax,0.196,0.198,0.146,1.67e-4,0.494,FALSE
Uco,Poisson,FluctCorrOpt,omega,7.86,6.93,2.44,4.32,13.2,FALSE
Uco,Poisson,FluctCorrOpt,phi,0.0759,0.158,0.341,-0.619,0.719,FALSE
Uco,Poisson,FluctCorrOpt,sigma_ind,0.165,0.2,0.0821,2.03e-4,0.294,FALSE
Uco,Poisson,FluctCorrOpt,beta,-0.0937,-0.09,0.0411,-0.168,-0.00745,FALSE
Uco,Poisson,FluctCorrOpt,sigma_beta,0.0637,0.0555,0.0389,0.00626,0.146,FALSE
